0.0011184,0.04395,-1
NaN,NaN,-0.99
0.001403,0.016453,-0.98
NaN,NaN,-0.97
0.0022709,0.017684,-0.96
NaN,NaN,-0.95
0.0029748,0.012971,-0.94
0.0041848,0.011119,-0.93
NaN,NaN,-0.92
0.0051673,0.011634,-0.91
NaN,NaN,-0.9
0.0055821,0.010726,-0.89
NaN,NaN,-0.88
0.0066551,0.011347,-0.87
NaN,NaN,-0.86
0.0070413,0.0094005,-0.85
NaN,NaN,-0.84
0.0085796,0.0080745,-0.83
NaN,NaN,-0.82
0.0086491,0.0033074,-0.81
NaN,NaN,-0.8
0.009568,-0.0042295,-0.79
NaN,NaN,-0.78
0.009946,-0.0010745,-0.77
NaN,NaN,-0.76
0.010602,0.013393,-0.75
NaN,NaN,-0.74
0.010939,-0.00072798,-0.73
NaN,NaN,-0.72
0.011692,-0.0044875,-0.71
NaN,NaN,-0.7
0.013111,0.012082,-0.69
NaN,NaN,-0.68
0.013454,-0.0053659,-0.67
NaN,NaN,-0.66
0.013073,0.0047269,-0.65
NaN,NaN,-0.64
0.014504,-0.0089373,-0.63
NaN,NaN,-0.62
0.014617,0.00030342,-0.61
NaN,NaN,-0.6
0.015006,-0.0042575,-0.59
NaN,NaN,-0.58
0.015367,-0.0045198,-0.57
NaN,NaN,-0.56
0.017197,-0.0077055,-0.55
NaN,NaN,-0.54
0.016436,-0.0089023,-0.53
NaN,NaN,-0.52
0.018783,-0.0050152,-0.51
NaN,NaN,-0.5
0.017689,-0.0044302,-0.49
NaN,NaN,-0.48
0.018774,-0.0043927,-0.47
NaN,NaN,-0.46
0.016806,-0.024289,-0.45
NaN,NaN,-0.44
0.019467,0.0077038,-0.43
NaN,NaN,-0.42
0.018563,-0.012377,-0.41
NaN,NaN,-0.4
0.020913,-0.0076449,-0.39
NaN,NaN,-0.38
0.021934,-0.020532,-0.37
NaN,NaN,-0.36
0.021729,0.0017835,-0.35
NaN,NaN,-0.34
0.019598,-0.0083178,-0.33
NaN,NaN,-0.32
0.020949,-0.0029952,-0.31
NaN,NaN,-0.3
0.021761,-0.0033817,-0.29
NaN,NaN,-0.28
0.022102,-0.015305,-0.27
NaN,NaN,-0.26
0.021117,-0.014445,-0.25
NaN,NaN,-0.24
0.025321,-0.0082052,-0.23
NaN,NaN,-0.22
0.025105,-0.013122,-0.21
NaN,NaN,-0.2
0.022227,-0.016842,-0.19
NaN,NaN,-0.18
0.021811,-0.0075863,-0.17
NaN,NaN,-0.16
0.023424,-0.010108,-0.15
NaN,NaN,-0.14
0.022221,-0.0026158,-0.13
NaN,NaN,-0.12
0.021554,-0.012708,-0.11
NaN,NaN,-0.1
0.023535,-0.0066266,-0.09
NaN,NaN,-0.08
0.02295,-0.010033,-0.07
NaN,NaN,-0.06
0.024569,-0.0071061,-0.05
NaN,NaN,-0.04
0.026186,0.0050721,-0.03
NaN,NaN,-0.02
0.025883,-0.0069454,-0.01
NaN,NaN,0
0.023229,-0.02053,0.01
NaN,NaN,0.02
0.02191,0.016258,0.03
NaN,NaN,0.04
0.021176,-0.00098766,0.05
NaN,NaN,0.06
0.023621,4.7926e-18,0.07
NaN,NaN,0.08
0.021664,0.0040118,0.09
NaN,NaN,0.1
0.023787,0.0085631,0.11
NaN,NaN,0.12
0.024161,0.0036264,0.13
NaN,NaN,0.14
0.023984,0.012493,0.15
NaN,NaN,0.16
0.021598,0.0020482,0.17
NaN,NaN,0.18
0.021764,0.014701,0.19
NaN,NaN,0.2
0.023174,0.0035556,0.21
NaN,NaN,0.22
0.021381,0.0076042,0.23
NaN,NaN,0.24
0.021763,0.018981,0.25
NaN,NaN,0.26
0.023296,0.0001956,0.27
NaN,NaN,0.28
0.021594,0.0032039,0.29
NaN,NaN,0.3
0.020337,0.0025293,0.31
NaN,NaN,0.32
0.020615,0.0085384,0.33
NaN,NaN,0.34
0.020472,0.0057143,0.35
NaN,NaN,0.36
0.020622,0.015057,0.37
NaN,NaN,0.38
0.018814,0.0015145,0.39
NaN,NaN,0.4
0.019439,0.0035992,0.41
NaN,NaN,0.42
0.01936,0.0025661,0.43
NaN,NaN,0.44
0.018477,0.029482,0.45
NaN,NaN,0.46
0.017505,0.0029027,0.47
NaN,NaN,0.48
0.014945,0.0065705,0.49
NaN,NaN,0.5
0.018107,-0.00578,0.51
NaN,NaN,0.52
0.017237,0.0056358,0.53
NaN,NaN,0.54
0.016229,0.0027523,0.55
NaN,NaN,0.56
0.014696,0.0099713,0.57
NaN,NaN,0.58
0.014521,0.015657,0.59
NaN,NaN,0.6
0.014214,0.0018354,0.61
NaN,NaN,0.62
0.01374,-0.011825,0.63
NaN,NaN,0.64
0.012724,0.0056251,0.65
NaN,NaN,0.66
0.012322,0.0010599,0.67
NaN,NaN,0.68
0.012418,0.002658,0.69
NaN,NaN,0.7
0.011565,-0.0038478,0.71
NaN,NaN,0.72
0.010874,0.0049653,0.73
NaN,NaN,0.74
0.010216,0.0022868,0.75
NaN,NaN,0.76
0.0093212,-0.0013495,0.77
NaN,NaN,0.78
0.0087743,-0.00038648,0.79
NaN,NaN,0.8
0.0078723,-0.004741,0.81
NaN,NaN,0.82
0.0067455,-0.0061433,0.83
NaN,NaN,0.84
0.0062898,-0.0015859,0.85
NaN,NaN,0.86
0.0056792,-0.013326,0.87
NaN,NaN,0.88
0.0049739,-0.01317,0.89
NaN,NaN,0.9
0.0039123,-0.010434,0.91
NaN,NaN,0.92
0.0029297,-0.012736,0.93
NaN,NaN,0.94
0.002079,-0.014596,0.95
NaN,NaN,0.96
0.00139,-0.018054,0.97
NaN,NaN,0.98
0.001241,-0.04535,0.99
NaN,NaN,1
