,x,y,drift_x,drift_y,diffusion_x,diffusion_y,diffusion_xy
5,-0.47368375592682854,-0.9999932691469368,0.008879486347691118,0.06966066564626286,0.0016101398689399038,0.005201279482327271,0.00038798703681013774
6,-0.36842082133902165,-0.9999932691469368,0.0025400083037657914,0.060316245416209655,0.0026673529648670426,0.0047961776008301005,-0.0002933210993511353
7,-0.26315788675121465,-0.9999932691469368,-0.0055699790228268325,0.05521563887792217,0.004350826556971907,0.0065591184294170385,-0.000765119605969493
8,-0.15789495216340776,-0.9999932691469368,-0.006491496572231295,0.0517763013693368,0.004477310551499842,0.007355739572393166,-0.001316230140263446
9,-0.052632017575600876,-0.9999932691469368,-0.012553870566812293,0.04796536420822022,0.004397109368143398,0.007112859759641451,-0.001136040694245106
10,0.052630917012206124,-0.9999932691469368,-0.015948387461854365,0.04509988950574501,0.005249444733805077,0.006629564207833491,-0.002188349757426218
11,0.157893851600013,-0.9999932691469368,-0.020198652178089083,0.037939168296022195,0.004415471317561747,0.004781930775781754,-0.0013088853057122776
12,0.2631567861878199,-0.9999932691469368,-0.03777836646423971,0.049411461926910955,0.00409645054092985,0.003538439534281932,-0.0011865715025068707
13,0.3684197207756268,-0.9999932691469368,-0.03505782988269384,0.03849083918669947,0.0023324336879290623,0.0022364526416134697,-0.001096748838536778
23,-0.6842096251024424,-0.8947304748352812,0.017421666155372623,0.08056852076436362,0.0013161964071667638,0.005595049887871055,0.000877680246465182
24,-0.5789466905146354,-0.8947304748352812,0.014451802849833568,0.05132692641240106,0.002496683407833846,0.004502944641256187,0.00026517313600548314
25,-0.47368375592682854,-0.8947304748352812,0.015457121481591691,0.045491116462124476,0.0051135320055308514,0.010114572037268565,-0.0006840507094960755
26,-0.36842082133902165,-0.8947304748352812,0.00635868609748956,0.027348191126257356,0.006493543654556498,0.014464049933203986,0.0001413341997277937
27,-0.26315788675121465,-0.8947304748352812,0.0007530265637332736,0.026686323144997554,0.010821160123724988,0.017629767188241673,-0.000676890479149233
28,-0.15789495216340776,-0.8947304748352812,0.0007139273668658364,0.020560160876597296,0.01191888029870886,0.017799429203076304,-0.0021295719784327266
29,-0.052632017575600876,-0.8947304748352812,-0.0024497357178031253,0.013121669575081199,0.012332179374157232,0.01859154397658358,-0.0027412685378056076
30,0.052630917012206124,-0.8947304748352812,-0.0013667276598146422,0.018597746254867896,0.014504073817732109,0.015738822398285654,-0.004197862855664515
31,0.157893851600013,-0.8947304748352812,-0.01937703139050141,0.02803167300100501,0.013688464450826943,0.013468558987623006,-0.0034532850952648966
32,0.2631567861878199,-0.8947304748352812,-0.014438424730776412,0.02973796332879672,0.010958784032678623,0.010297333021991416,-0.0029920175783388387
33,0.3684197207756268,-0.8947304748352812,-0.02915462171833538,0.0268463224485657,0.00723223506313567,0.005916785622742425,-0.0019101634290360592
34,0.4736826553634339,-0.8947304748352812,-0.046056439680659894,0.04411257019448377,0.004960633836244579,0.0035332661831319768,-0.0013038510532172745
